醋氨酚	Acetaminophen
acrylic polymer	丙烯酸（酯）类聚合物
acrylic resin	丙烯酸（酯）类树脂
acrylic resin teeth	造牙粉，丙烯树脂牙粉
acrylic splint	丙烯酸脂夹
acrylics	丙烯酸脂类
acrylketone	丙烯酮
acrylonitrile	丙烯腈
ACTA (automatic computerized tomographic axial scan)	自动电子计算机控制X射线轴向断层扫描
Actagardin	阿肽加定［抗生素类药］
Actaplanin	阿克拉宁［抗生素类药］
Actarit	阿克他利［免疫调节药］
ACTAS （automatic computerized transverse axial scanner)	自动电子计算机控制轴向扫描器
acticarbon	活性炭；
actidione	放线（菌）酮[即环己酰亚胺]
actin	肌动蛋白
actin filament	肌动蛋白丝
Acting Deputy Commissioner for Policy	政策代理副专员
actinic glass	光化玻璃
actinic keratosis	光化性角化病
actinic ray	光化射线
actinin	辅肌动蛋白[分为alfa、beta两种，beta蛋白即加帽蛋白]
actinium	(abbr. Ac)锕
actinium emanation	锕射气
actinmicrofilament	肌动蛋白微丝
actino-	放射线，光线
Actinobacillus actinomycetemcomitans	伴放线放线杆菌
actinocardiogram	心脏X射线照片
actinocymography	X射线活动照像术，X射线记波照像术
actinogenics	射线学
actinogram	X射线照片
actinograph	①X射线照片 ②自记曝光计、辐射仪
actinographema	X射线照片
actinography	①X射线照像术 ②光量测定法
actinokymography	X射线记波照像术，X射线活动照像术
actinology	①放射线学 ②光化学
actinolyte	①放射治疗器 ②紫外线发射器
actinometer	光线强度计，曝光表
actinomorphy	辐射对称[用于描述植物的花]
Actinomyces neuii anitratus	纽氏放线菌无硝亚种
Actinomyces neuii neuii	纽氏放线菌纽氏亚种
Actinomyces neuii radingae	纽氏放线菌罗亚种
Actinomyces neuii turicensis	纽氏放线菌图列茨亚种
Actinomyces odontolyticus	龋齿放线菌
Actinomyces viscosus	粘放线菌
actinomycetes	放线菌
Actinomycin C	放线菌素C［抗生素类药］
actinomycin D	放线菌素D
actinon	锕射气
actinophor	钍铈混合造影剂
Actinoquinol	阿克汀喹［防紫外线药］
actinoscope	光能测定器
actinoscopy	X射线透视检查
actinospectacin	放线壮观素，壮观霉素，奇霉素
actinostereoscopy	X射线立体镜检查
actinotherapy	放射线疗法
action	动作，作用，运行，影响
action current	动作电流
action potential	动作电位
action spectrum	作用光谱
Actisomide	阿克索胺［抗心律失常药］
Actithiazic Acid	阿克唑酸［抗麻风药］
activate	活化，激活，使…产生放射性；
activated carbon	活性碳
activated charcoal	活性碳
activated sludge	活性污泥
activated state	活化态；
activated support	活化支持体
activating	活化；
activating agent	活化剂；
activating group	活化基团
activating transcription factor	转录激活因子
activation	激活；活化
activation analysis	活化分析
activation domain	活化结构域
activation energy	活化能
activator	①激励器，②灵敏度提高装置 ③催化剂
activator	激活剂；
activator appliance	①促活器 ②刺激性矫正器
activator protein	激活蛋白
Active	（賦活用）
active	①活动的，有效的 ②放射性的
active absorption	主动吸收
active antenna	辐射天线
active biomass	活生物质
active bridge	有源电桥
active carbon	活性碳
active center	活性中心
active center	活性中心；
active chromatin	活性染色质
active compensation electronics	主动电子补偿
active compression-decompression CPR	主动式按压-减压心肺复苏
active dry yeast	活性干酵母
active dydrogen compounds	活性氢化合物
active electrode	①探查电极 ②作用导子
active ester of amino acid	氨基酸的活化酯
active flatbed motion tester	活动平板运动测试仪
active group	活性基团；
active hydrogen	活性氢
active immunity	主动免疫
active mass	有效质量；
active material	放射性材料
active nasopharyngoscope	活动电（光）鼻咽镜
active oxygen	活性氧
active power	有效功率
active probe	有源探头
active scanning time	有效扫描时间
active site	活性部位，活性中心
active site	活性点；
active transport	主动转运
active uptake	主动吸收
Active Viewer	现用观察器
active voltage	有效电压
activin	活化素[由垂体合成并由睾丸和卵巢分泌的性激素]
activity	活度
activity coefficient	活性系数
Actodigin	阿托地近［强心药］
actol	阿克托[乳酸银]
actomyosin	肌动球蛋白
actophorin	载肌动蛋白[一种肌动蛋白结合蛋白]
actor	作用物，原动质
actual	实际的，现实的
actual column plate	实际塔板数；
actual delivery	实际交货
actual monitor	线路监视器
actual time	真实时间，动作时间
actual volume	实际额
actuating	激励，开动
actuating device	传动装置
actuator	调节器，传动装置
acu-	①针 ②尖锐
acuductor	导针器
Aculon body	Aculon体
acumeter	听力计，听力测验器
acupressure forceps	针压镊
acupressure needle	针压术针
acupuncture	针刺术
acupuncture anesthesia	针刺麻醉
acupuncture anesthetic apparatus	针刺麻醉机，针麻仪
acupuncture anesthetic electro-unit	针麻电针仪
acupuncture anesthetic needle	针刺麻醉针a
acupuncture anesthetic press-needle	针刺麻醉揿针
acupuncture anesthetic unit	针麻仪
acupuncture instruments set	针灸器械包
acupuncture needle	针灸针
acupuncture needle (silver spiral handle)	银盘柄针灸针
acupuncture pin	针灸针
acupuncture point	Ѩλ
acus	外科针
acusection	电针切开术
acusector	电针刀，电割针
acusimeter	听力计，听力测验器
acusiometer	听力计，听力测验器
acutc appendicitis	急性兰尾炎
acute	尖的，敏锐的
acute angle handpiece	锐角机头，弯机头
acute infection	急性感染
acute myocardial infaction	急性心肌梗塞
acute peritionitis	急性腹膜炎
acute phase	急性期
acute phase protein	急性期蛋白，急相蛋白
acute phase reaction	急性期反应，急相反应[炎症反应急性期机体的防御反应]
acute phase reactive protein	急性期反应蛋白，急相反应蛋白
acute phase response	急性期反应，急相反应
acute phlegmon/ cellulitis	急性蜂窝织炎
acute toxicity	急性毒性
adaptive molecule	衔接分子
adaptive response	适应反应[大肠杆菌中的DNA修复系统]
adaptometer	①暗适应计 ②匹配测量计
adaptor	①连接器， ②接管，转换接头
adaptor male	配用器插柱
Adatanserin	阿达色林［5—羟色胺拮抗药］
adatome	吸附原子
adaxial	向轴的，近轴的
ADC	表观弥散系数
ADC calculation	表观弥散系数计算
ADC image	表观弥散图像
addaverter	加法转换器
added circuit	相加电路
addendum	补遗，附录
adder	①加法器 ②拾音器 ③转换接头
adder substracter	加减器，加减装置
addition	加，附加，补充
addition compound	加成化合物
addition haploid	附加单倍体
addition key	加法键
addition line	附加系
additional	附加的，额外的
additional air regulator	补给空气量调节器
additional peak	附加峰；
additional reading	额外的读出
additive	①附加的，增加的 ②附加物
additive colour filter	附加滤色镜
additive effect	加性效应
additive genetic variance	加性遗传方差
additive recombination	插入重组，加插重组[因DNA插入而引起的基因重组]
additivity	加和性；
address	住址，地址
address counter	地址计数器
address of theenduser	用户地址
addressin	地址素[选择蛋白(selectin)的寡糖配体，与淋巴细胞归巢有关]
addscope	叠加示波器
adducin	内收蛋白[一种细胞膜骨架蛋白，可与钙调蛋白结合]
adduct	加合物，加成化合物
adduct ion	加合离子
adduction	臂内收
Adefovir	阿德福韦［抗病毒药］
Adelmidrol	阿地米屈［抗痤疮药］
Ademetionine	腺苷蛋氨酸［抗脂肪肝药］
aden-; adeno-	腺
adenectomy	增殖腺切除术
Adenine	腺嘌呤［维生素类药］
adenine	腺嘌呤
adenine arabinoside	啊糖腺苷
adenine phosphoribosyltransferase	腺嘌呤磷酸核糖转移酶
adenography	腺X射线照像术
adenoid	腺样的
adenoid curet	腺样腺刮匙，腺样体刮匙
adenoid curette	腺样体刮匙，增殖体刮器
adenoidectomy	增殖腺切除术
adenoma	腺瘤
adenomatome	腺瘤刀
adenosine	腺嘌呤核苷，腺苷
Adenosine Cyclophosphate	环磷腺苷［蛋白激酶致活药］
adenosine deaminase	腺苷脱氨酶
adenosine diphoshate	腺苷二磷酸
adenosine diphosphate (ADP)	二磷酸腺苷
Adenosine Disodium Triphosphate	三磷腺苷二钠［辅酶］
adenosine monophosphate	腺苷（一磷）酸
Adenosine Phosphate	磷酸腺苷［血管扩张药］
adenosine phosphosulfate	腺苷酰硫酸
Adenosine Sodium Triphosphate	三磷腺苷钠［辅酶］
adenosine triphosphatase	腺苷三磷酸酶
Adenosine Triphosphate	三磷腺苷［辅酶］
adenosine triphosphate	腺苷三磷酸
adenosine triphosphate (ATP)	三磷酸腺苷
Adenosine Triphosphate(ATP)	腺三磷酸 使皮膚代謝正常
adenotome	增殖腺刀，增殖体切除器
adenotome blade	增殖体切除器刀片
adenotomy	增殖体切除术
adenovirus	腺病毒
adenylate	腺苷酸；腺苷酸盐、酯、根
adenylate cyclase	腺苷酸环化酶
adenylate energy charge	腺苷酸能荷
adenylate kinase	腺苷酸激酶
adenylic acid	腺苷酸
adenylyl cyclase	腺苷酸环化酶
adenylylation	腺苷酰化
adhere	①附着，粘着 ②坚持，遵守
adherence	粘着，粘附，粘连；贴壁
adherent cell	贴壁细胞；粘着（性）细胞，粘附（性）细胞
adherent culture	贴壁培养
adherent lens	附着透镜，接触镜片
adhering junction	粘着连接
adherometer	粘合计，粘附计
adheroscope	粘附计
adhesin	粘附素[如见于大肠杆菌]
adhesiometer	粘附计
adhesion	吸附，结合，粘合；粘着，粘附，粘连
adhesion factor	粘着因子，粘附因子
adhesion molecule	粘着分子，粘附分子
adhesion plaque	粘着斑
adhesion protein	粘着蛋白，吸附蛋白
adhesion receptor	粘着受体
adhesion zone	粘着带[如见于细菌壁膜之间]
adhesive	①附着的，粘附的 ②胶合剂，粘合剂
adhesive bandage	胶布绷带
adhesive glycoprotein	粘着糖蛋白
adhesive meter	胶粘计
adhesive pads	粘性衬垫
adhesive plaster	橡皮膏，胶布
adhesive strength	胶粘强度
adhesive tape	胶布
ADIA	B1不敏感脉冲
ADIAB	B1不敏感脉冲
adiabatic	不传热的，绝热的
adiabatic calorimeter	绝热测热计
adiabatic curve	绝热曲线
adiabatic pulse	B1不敏感脉冲
adiabatic system	绝热系统
adiabator	（电炉）保温材料，绝热材料
adiathermal	绝热的
adiathermance	不透热，绝热
Adibendan	阿地本旦［强心药］
Adicillin	阿地西林［抗生素类药］
Adimolol	阿地洛尔［β受体阻滞药］
Adinazolam	阿地唑仑［抗抑郁药］
adion	吸附离子
Adiphenine	阿地芬宁［解痉药］
adipic acid	己二酸，肥酸
Adipiodone	胆影酸［诊断用药］
Adipiodone Sodium[131 I]	胆影酸钠[131 I]［诊断用药］
adipocere	尸蜡，脂蜡
adipocyte	脂肪细胞
adipokinetic hormone	脂动激素[见于昆虫]
adipometer	皮厚度计
adipose tissue	脂肪组织
Aditeren	阿地特仑［利尿药］
Aditoprim	阿地普林［抗菌药］
adjacent	相邻的，邻位的；
adjunct	①附件 ②附属的，附加的
adjust	调节，校准
adjustable	可调的
adjustable attenuator	可调衰减器
adjustable impression tray	活动牙托
adjustable leak	可调漏孔
adjustable miropipettor	可调微量移液管
adjustable parameter	可调参数
adjustable spanner	活动扳手
adjustable wrench	活动扳手
adjusted retention time	调整保留时间
adjusted retention volume	调整保留体积
adjuster	①调节器 ②持缝线器 ③脱位回复器
adjusting potentiometer	调整电位计
adjusting valve	调整阀
adjustment	调整器，校准
adjustment loop	调节回路
adjustor	调整器
adjuvant	①辅助的 ②助手
adjuvant cytokine	佐剂细胞因子
adjuvant peptide	佐剂肽
adjuvanticity	佐剂（活）性
admin	管理
administer	执行
ADMINISTRATION	管理部
administration	①管理，经营 ②管理机构
Administration for patient database (ADM)	病人数据管理部
administration office of the hospital	医院管理部门
Administration on Aging	老龄局
Administrative Procedure Act	《行政程序法》
admissible error	容许误差
admission	准许，接收，容纳，进入
admission office	入院处
admittance bridge	导纳桥，高频电桥
admixture	①混合物 ②混合
adnexa	附件，附属器
Adoniside	冰凉花苷［强心药］
adoption	采用，接受，通过
adoptive immunity	过继免疫
adoptive transfer	过继转移
Adosopine	阿多索平［抗利尿药］
Adozelesin	阿多来新［抗肿瘤药］
ADP (adenosine diphosphate)	腺二磷酸
ADP ribosylation	ADP核糖基化
ADP ribosylation factor	ADP核糖基化因子
ADP ribosyltransferase	ADP核糖基转移酶
ADPC(automatic data processing center)	自动数据处理中心
Adrafinil	阿屈非尼［脑代谢改善药］
adrenal cortical hormone	肾上腺皮质(激)素
adrenal gland	肾上腺
Adrenaline	肾上腺素［升压药］
adrenaline	肾上腺素
adrenalinoscope	肾上腺素计
Adrenalone	肾上腺酮［止血药，血管收缩药］
adrenergic receptor	肾上腺素能受体
adrenocepter	肾上腺素受体
adrenocorticotropic hormone	促肾上腺皮质(激)素
adrenodoxin	肾上腺皮质铁氧还蛋白
adrenogram	肾上腺X射线照片
Adriamycin	多柔比星［抗生素类药］
adriamycin	阿霉素，亚德里亚霉素
adsorb	吸附，吸收
adsorbate	吸附体
adsorbent	吸附剂
adsorber	吸附器
adsorbing agent	吸附剂
adsorbing material	吸附材料
adsorption	吸附作用，表面吸着
adsorption catalysis	吸附催化
adsorption center	吸附中心
adsorption chromatography	吸附层析
adsorption film	吸附膜
adsorption frequency	吸收频率
adsorption isobar	吸附等压线
adsorption isotherm	吸附等温线
adsorption layer	吸附层
adsorption potential	吸附电势
adsorption precipitation	吸附沉淀
adsorption quantity	吸附量
adsorption-type blood perfusion system	吸附型血液港口灌流装置
adterminal	①离心的 ②向末端的
adult	成人，成年
adult cattle	成年牛
adult diarrhea rotavirus	成人腹泻轮状病毒
adult emergency case	成人急救盒
adulterated	劣质的
advance	进步，前进，促进
advance notice of proposed rulemaking	建议的规章制定的事先通知
Advanced Daily Eye Creme	高效眼霜（日常用）
advanced EPI package	高级EPI功能包
advanced glycosylation	高级糖基化
advanced glycosylation end product	高级糖基化终产物
advanced life support	进一步生命支持
advanced life support ( ALS)	进一步生命支持
advanced metastatic prostate cancer	晚期转移性前列腺癌
advanced microscope	高级显微镜
Advanced Moisture Renewal Treatment Cream	高效滋润更新护理霜
Advanced Night Repair Protective Recovery Complex	特效夜间修护精华露
ADVANCED VIEWING	高级图像观察环境
advancement	徒前术
advancement forceps	①徒前术钳 ②肌肉固定镊
advancer	（相位）超前补偿器，进相机
advantage	优点，优势，利益
advective cooling	对流冷却
advent	出现，到来
adventitial	动脉外膜的
adventitious	不定的，无定形的
adverse	反向的，相反的
ADVERSE EFFECT	副作用
adverse effect	反效果，副作用
ADVERSE REACTION	不良反应
advertiser	信号装置，信号器
advice	①意见，劝告 ②通知
advisable	适当的，合理的
advise	①劝告，建议 ②通知
Advisory Committee on Immunization Practices	免疫规范顾问委员会
Advisory Committee Oversight and Management Staff	顾问委员会监督和管理机构
advisory panel	顾问组
aecidiospore	锈孢子，春孢子
aeciospore	锈孢子，春孢子
AEG (air encephalogram)	气脑X射线照片
AEP(auditory evoked potential)	听觉激发电位
aequorin	水母蛋白，水母素
aer-; aero-	气，空气
aerarium	通风器
aerated plastics	多孔塑料，海绵塑料
aeratiom	换气，充气，曝气
aeration	通气
aeration cell	充气电池，氧气电池
aerator	充气器，鼓风机
aerdentalloy	银铝合金
aerial condenser	空气冷凝器
aerial conduction	空气传导
aerial image	像，投影
aerial line	架空线
aerial mycelium	气生菌丝体
aero-	①气，空气 ②飞机，航空
